"Location","Currency","Price","Property.Type","Size_Type","Size_Value","Size_Unit","Furnishing"
"Desa ParkCity, Kuala Lumpur","RM",1100000,"Condominium (Intermediate)","Built-up  ",1378,"sq. ft.","Unfurnished"
"Taman Melawati, Kuala Lumpur","RM",2800000,"Bungalow (Corner)","Land area  ",5628,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",3900000,"Serviced Residence","Built-up  ",1636,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1300000,"Serviced Residence (EndLot)","Built-up  ",925,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",438000,"Apartment (Corner)","Built-up  ",1018,"sq. ft.","Partly Furnished"
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM",530000,"Serviced Residence (Corner)","Built-up  ",900,"sq. ft.","Partly Furnished"
"Setiawangsa, Kuala Lumpur","RM",590000,"Condominium (Intermediate)","Built-up  ",1196,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1e+06,"Condominium","Built-up  ",751,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1900000,"Condominium (Corner)","Built-up  ",915,"sq. ft.","Partly Furnished"
"Setapak, Kuala Lumpur","RM",380000,"Condominium","Built-up  ",950,"sq. ft.","Unfurnished"
"KLCC, Kuala Lumpur","RM",1198000,"Serviced Residence (Corner)","Built-up  ",764,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",1e+06,"Condominium (EndLot)","Built-up  ",657,"sq. ft.","Partly Furnished"
